COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
2,24,11,2021-2022,D,SERVICE_INVOICE-28022022-SGIPL-Gyproc Jhagadia SGIPL-V-11-D.pdf,23,02/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/03/2022 00:00:00,null,null,null
2,24,11,2021-2022,O,SERVICE_INVOICE-28022022-SGIPL-Gyproc Jhagadia SGIPL-V-11-O.pdf,23,02/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/03/2022 00:00:00,null,null,null
2,24,11,2021-2022,T,SERVICE_INVOICE-28022022-SGIPL-Gyproc Jhagadia SGIPL-V-11-T.pdf,23,02/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/03/2022 00:00:00,null,null,null
2,24,12,2021-2022,D,SERVICE_INVOICE-15032022-SGIPL-Gyproc Jhagadia SGIPL-V-12-D.pdf,23,16/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2022 00:00:00,null,null,null
2,24,12,2021-2022,O,SERVICE_INVOICE-15032022-SGIPL-Gyproc Jhagadia SGIPL-V-12-O.pdf,23,16/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2022 00:00:00,null,null,null
2,24,12,2021-2022,T,SERVICE_INVOICE-15032022-SGIPL-Gyproc Jhagadia SGIPL-V-12-T.pdf,23,16/03/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2022 00:00:00,null,null,null
2,24,18,2021-2022,D,SERVICE_INVOICE-31032022-SGIPL-Gyproc Jhagadia SGIPL-V-18-D.pdf,113,01/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/04/2022 00:00:00,null,null,null
2,24,18,2021-2022,O,SERVICE_INVOICE-31032022-SGIPL-Gyproc Jhagadia SGIPL-V-18-O.pdf,113,01/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/04/2022 00:00:00,null,null,null
2,24,18,2021-2022,T,SERVICE_INVOICE-31032022-SGIPL-Gyproc Jhagadia SGIPL-V-18-T.pdf,113,01/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/04/2022 00:00:00,null,null,null
2,24,4,2022-2023,D,SERVICE_INVOICE-05042022-SGIPL-Gyproc Jhagadia SGIPL-V-4-D.pdf,113,18/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/04/2022 00:00:00,null,null,null
2,24,4,2022-2023,O,SERVICE_INVOICE-05042022-SGIPL-Gyproc Jhagadia SGIPL-V-4-O.pdf,113,18/04/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,18/04/2022 00:00:00,null,null,null
